,,NormQuant,NormQuant,NormQuant,NormSEM
,,size,mean,std,mean
Target Name,Sample Name,,,,
B2M,B4bisGP,2.0,1.0,0.015685964789894313,0.011091652072387659
B2M,R6 GP,2.0,1.0,0.11087724362121894,0.07840205084383678
B2M,V3 GP,3.0,1.0000000000000002,0.3413312817721388,0.1970677074139843
B2M,V4 GP,2.0,1.0,0.03571982709086691,0.02525773195876296
B2M,R5bis GP,3.0,1.0,0.2126402305188052,0.12276789433057624
B2M,R6bisGP,2.0,1.0,0.5512291172897461,0.3897778468230543
B2M,R8bisGP,3.0,1.0000000000000002,0.15030341209802356,0.08677771543491318
B2M,V2GP,2.0,1.0,0.1645113016843606,0.11632705700283724
B2M,V8GP,2.0,1.0,0.23640034788632125,0.16716028906527663
NRXN3,B4bisGP,2.0,0.2541155866900175,0.030298679357321966,0.021424401634559234
NRXN3,R6 GP,3.0,0.7106743573310546,0.06082155436815769,0.035115340786987304
NRXN3,V3 GP,3.0,0.6435702509617146,0.262198212279879,0.1513802084408268
NRXN3,V4 GP,3.0,0.3779209621993127,0.14151393532925496,0.08170310865642867
NRXN3,R5bis GP,3.0,0.49879532586435377,0.10943091608286662,0.0631799688581104
NRXN3,R6bisGP,2.0,0.9499766972192016,0.05338727600693823,0.03775050489358389
NRXN3,R8bisGP,3.0,0.868304178373969,0.2573444237243097,0.14857787231167935
NRXN3,V2GP,3.0,0.8537529017281402,0.1465295492565234,0.08459887470748835
NRXN3,V8GP,2.0,0.9486435256486199,0.044817216909702966,0.03169055799075937
